ID,PredictedProb
0,0.204207
1,0.912732
2,0.772467
7,0.594821
10,0.70253
11,0.603007
13,0.935636
14,0.660347
15,0.922967
16,0.836332
17,0.749012
18,0.814357
19,0.960516
20,0.839593
25,0.883309
26,0.83169
29,0.86189
38,0.958819
41,0.953481
44,0.588396
45,0.33832
47,0.756847
48,0.674312
49,0.841856
50,0.866776
53,0.533858
56,0.565837
59,0.854279
60,0.782738
64,0.788766
65,0.961585
66,0.788749
68,0.864471
69,0.667216
70,0.948487
71,0.790002
72,0.663176
76,0.875528
80,0.782114
82,0.710115
83,0.942574
85,0.901205
86,0.810052
87,0.635974
89,0.827898
97,0.872275
99,0.622628
101,0.748877
102,0.238121
103,0.585222
104,0.554832
106,0.954616
107,0.604175
109,0.929913
111,0.359909
113,0.793123
114,0.548028
118,0.843105
119,0.703981
120,0.916417
123,0.679731
128,0.327849
129,0.896843
131,0.947979
133,0.671571
134,0.754633
136,0.922281
137,0.712718
139,0.704234
140,0.883807
142,0.710549
144,0.792256
146,0.905061
147,0.725565
148,0.921526
150,0.207707
151,0.19801
152,0.962338
155,0.965055
158,0.871902
159,0.669875
160,0.974782
161,0.665648
165,0.929831
166,0.441339
170,0.944376
171,0.780884
174,0.662526
175,0.700167
179,0.775648
180,0.914472
181,0.814407
184,0.63932
185,0.601793
187,0.812822
188,0.80348
190,0.767523
191,0.803469
192,0.631729
193,0.890571
196,0.875586
197,0.578535
198,0.62598
205,0.0786546
211,0.876372
213,0.750744
214,0.833573
217,0.578456
218,0.83737
221,0.780726
222,0.595487
225,0.801352
229,0.579675
236,0.634841
237,0.919976
238,0.827669
239,0.955479
242,0.687648
245,0.915189
246,0.791642
247,0.898481
248,0.983692
254,0.904635
255,0.550214
257,0.958857
259,0.778417
264,0.936515
270,0.669332
272,0.783107
274,0.371578
275,0.322013
278,0.77546
280,0.34528
281,0.291007
282,0.318523
283,0.812581
284,0.962933
286,0.895097
287,0.916807
288,0.916589
289,0.874597
290,0.552681
291,0.783531
294,0.554492
295,0.375899
297,0.589234
299,0.681045
305,0.827292
307,0.596038
308,0.773086
313,0.599974
314,0.757243
315,0.784334
316,0.924573
317,0.877009
319,0.596604
322,0.846381
323,0.857539
324,0.820585
326,0.90783
327,0.755537
329,0.979103
330,0.0626768
331,0.42059
336,0.382759
337,0.521803
338,0.814077
340,0.960728
345,0.469654
347,0.864153
348,0.874012
350,0.981331
352,0.894384
356,0.946135
357,0.947955
358,0.918414
359,0.769699
361,0.78481
363,0.306614
364,0.763624
368,0.841588
376,0.975891
378,0.763888
382,0.8132
384,0.471902
385,0.952676
388,0.192225
389,0.960853
391,0.830843
392,0.713074
395,0.803469
396,0.867691
397,0.818125
399,0.827871
404,0.964529
407,0.488698
409,0.839685
410,0.841741
413,0.558438
414,0.578481
416,0.739683
418,0.693998
419,0.868902
420,0.940108
422,0.951123
423,0.818325
427,0.704768
429,0.97511
430,0.557491
431,0.725335
432,0.70504
433,0.900349
434,0.0598434
436,0.685771
437,0.87586
451,0.663667
452,0.714992
454,0.809788
457,0.900486
458,0.896877
460,0.55874
461,0.946532
462,0.678968
463,0.834168
465,0.94417
467,0.91564
473,0.874109
474,0.952572
480,0.147852
481,0.804776
483,0.86438
484,0.515323
485,0.575033
487,0.897662
490,0.94173
491,0.825189
492,0.576787
496,0.868774
497,0.599598
498,0.729823
499,0.875616
501,0.782395
502,0.940032
503,0.817955
506,0.917095
507,0.719134
508,0.574627
509,0.797847
510,0.796873
511,0.872311
513,0.791149
515,0.926242
521,0.468277
522,0.824824
523,0.893165
525,0.901773
529,0.831236
530,0.585787
531,0.658836
533,0.769008
534,0.668059
535,0.946256
537,0.604406
541,0.617844
542,0.68484
543,0.720054
544,0.821665
545,0.626078
549,0.931901
550,0.884889
551,0.852394
553,0.556974
556,0.886143
558,0.563533
560,0.723762
563,0.569399
564,0.942205
567,0.397517
572,0.595008
573,0.924237
577,0.916297
583,0.890254
584,0.798256
585,0.797963
586,0.77006
588,0.760836
590,0.735984
591,0.675027
593,0.940362
594,0.78407
597,0.816848
598,0.681328
599,0.914623
603,0.814447
604,0.658991
606,0.920049
607,0.488239
609,0.712164
614,0.845315
615,0.864833
616,0.533136
617,0.898774
618,0.872882
619,0.835087
620,0.892926
623,0.680073
625,0.904551
626,0.82395
627,0.893579
632,0.919493
633,0.598606
634,0.845692
635,0.730208
636,0.869837
637,0.851679
638,0.809325
639,0.934072
642,0.501895
643,0.888115
644,0.962697
645,0.30712
646,0.842433
650,0.901709
653,0.59193
654,0.712788
655,0.319865
656,0.849225
657,0.788984
658,0.688686
660,0.505883
661,0.770095
668,0.88742
669,0.681314
671,0.857582
672,0.73701
676,0.931354
678,0.912153
680,0.867256
682,0.84692
684,0.849894
685,0.649014
686,0.631471
687,0.600328
694,0.190552
696,0.750265
697,0.695967
699,0.565336
702,0.952965
707,0.800924
708,0.953865
712,0.96473
717,0.950587
718,0.950475
720,0.598912
721,0.858394
723,0.854103
724,0.691031
727,0.597444
728,0.314447
731,0.841326
733,0.863466
735,0.946152
737,0.753498
738,0.853423
740,0.651767
742,0.976004
743,0.626322
745,0.685575
746,0.898871
747,0.596958
748,0.990428
749,0.879772
750,0.957862
753,0.752213
755,0.821519
756,0.911338
758,0.508824
760,0.729471
762,0.864338
763,0.765899
765,0.937213
767,0.828897
768,0.967579
770,0.764379
772,0.788468
773,0.834577
774,0.807539
775,0.787103
777,0.408302
778,0.910169
780,0.565015
782,0.766474
783,0.957196
786,0.536789
787,0.910184
788,0.735412
789,0.694771
790,0.695236
793,0.751948
795,0.83566
807,0.713935
809,0.803116
810,0.594147
811,0.755901
813,0.240634
815,0.869353
816,0.701268
821,0.890648
823,0.985313
825,0.842369
826,0.844168
827,0.908475
832,0.89753
833,0.758903
834,0.768364
837,0.887473
838,0.984918
839,0.122003
843,0.522308
844,0.796944
845,0.52301
846,0.660564
848,0.732444
850,0.815523
851,0.893278
852,0.655448
855,0.750739
856,0.978918
861,0.721999
862,0.867657
863,0.929085
864,0.733313
865,0.860887
867,0.718166
868,0.881668
869,0.93819
873,0.627146
875,0.702595
877,0.863471
879,0.769319
880,0.97753
881,0.794467
882,0.587511
883,0.962296
887,0.674998
888,0.574395
890,0.960286
897,0.782315
900,0.814134
902,0.716007
904,0.769228
906,0.625469
910,0.90438
913,0.893139
914,0.678348
915,0.585878
918,0.812304
920,0.954369
923,0.847977
926,0.77085
927,0.694774
929,0.648352
930,0.702816
931,0.942393
932,0.923217
933,0.861352
934,0.820874
936,0.640787
939,0.718445
941,0.909282
943,0.641833
947,0.649107
948,0.797284
949,0.986786
950,0.502504
951,0.749211
952,0.635851
953,0.98362
956,0.863279
961,0.638599
962,0.627734
968,0.802857
971,0.955164
972,0.970857
977,0.966508
981,0.704735
985,0.907229
987,0.83139
989,0.98597
993,0.934398
994,0.392498
997,0.980188
998,0.488244
999,0.880587
1002,0.803539
1003,0.947789
1004,0.945633
1005,0.574933
1007,0.701491
1008,0.879056
1014,0.960894
1016,0.832375
1021,0.604879
1023,0.877155
1026,0.921652
1028,0.850821
1029,0.757722
1030,0.615364
1031,0.784795
1032,0.895922
1033,0.980584
1036,0.638891
1037,0.922898
1039,0.745299
1046,0.924741
1047,0.875887
1049,0.94972
1055,0.886427
1057,0.476416
1059,0.787532
1060,0.274259
1062,0.216275
1063,0.83798
1066,0.83394
1067,0.979171
1068,0.375789
1070,0.84367
1071,0.757592
1073,0.785469
1074,0.747849
1075,0.871774
1076,0.677853
1077,0.936355
1079,0.629983
1083,0.62125
1085,0.963405
1087,0.714284
1088,0.53868
1089,0.847458
1092,0.776343
1095,0.746443
1104,0.980715
1106,0.983669
1108,0.542242
1110,0.678507
1117,0.770367
1118,0.763784
1119,0.882016
1121,0.816872
1122,0.830992
1124,0.734571
1125,0.653371
1126,0.538173
1128,0.850984
1129,0.649298
1131,0.411275
1132,0.743731
1133,0.850675
1134,0.512227
1137,0.942725
1138,0.492832
1139,0.657459
1140,0.668154
1141,0.845737
1143,0.758369
1144,0.892284
1145,0.778455
1146,0.895675
1147,0.839607
1149,0.846534
1151,0.728578
1154,0.734475
1156,0.454732
1158,0.813551
1165,0.807773
1166,0.48939
1167,0.577763
1168,0.755996
1169,0.565795
1171,0.586264
1173,0.446363
1175,0.566344
1181,0.592405
1182,0.464826
1184,0.792356
1187,0.804941
1189,0.933084
1190,0.649068
1193,0.642884
1194,0.967206
1196,0.882019
1202,0.6822
1203,0.74003
1206,0.885033
1209,0.965989
1211,0.717337
1212,0.390065
1215,0.773557
1216,0.572467
1220,0.807063
1222,0.882682
1223,0.923769
1224,0.632357
1227,0.929961
1229,0.512958
1230,0.742441
1233,0.902374
1236,0.60011
1242,0.923132
1245,0.754952
1246,0.954732
1249,0.896984
1250,0.902819
1253,0.980608
1258,0.654734
1259,0.684636
1262,0.986419
1263,0.799964
1265,0.950665
1266,0.874401
1267,0.93693
1268,0.88144
1269,0.760674
1270,0.698596
1271,0.865699
1272,0.967833
1276,0.943967
1277,0.790619
1279,0.793749
1280,0.720742
1283,0.726192
1285,0.822129
1286,0.89073
1290,0.828748
1293,0.712317
1295,0.500491
1297,0.842069
1299,0.94034
1300,0.966292
1301,0.789282
1302,0.972424
1303,0.913627
1304,0.873615
1305,0.660837
1306,0.696969
1307,0.667885
1308,0.988214
1309,0.633439
1312,0.714068
1313,0.916255
1314,0.65469
